keyword,timestamp,file,line,column,arquivo_origem,repositorio,timestamp_dt,data,hora
while,2026-03-06 22:21:37,jogo2.js,2,1,jogo2.json,Raqueli-S,2026-03-06 22:21:37,2026-03-06,22
alert,2026-03-06 22:27:27,jogo2.js,8,1,jogo2.json,Raqueli-S,2026-03-06 22:27:27,2026-03-06,22
for,2026-02-26 21:31:01,copa.js,2,1,copa.json,Raqueli-S,2026-02-26 21:31:01,2026-02-26,21
for,2026-02-26 21:32:01,copa.js,1,1,copa.json,Raqueli-S,2026-02-26 21:32:01,2026-02-26,21
let,2026-02-26 21:32:01,copa.js,1,5,copa.json,Raqueli-S,2026-02-26 21:32:01,2026-02-26,21
for,2026-02-26 21:32:05,copa.js,2,18,copa.json,Raqueli-S,2026-02-26 21:32:05,2026-02-26,21
let,2026-02-26 21:32:05,copa.js,2,18,copa.json,Raqueli-S,2026-02-26 21:32:05,2026-02-26,21
for,2026-02-26 21:35:19,copa.js,2,1,copa.json,Raqueli-S,2026-02-26 21:35:19,2026-02-26,21
parseInt,2026-03-19 21:50:08,maior-de-tres.js,2,9,maior-de-tres.json,Raqueli-S,2026-03-19 21:50:08,2026-03-19,21
alert,2026-03-19 21:58:18,maior-de-tres.js,3,5,maior-de-tres.json,Raqueli-S,2026-03-19 21:58:18,2026-03-19,21
if,2026-03-19 21:58:56,maior-de-tres.js,4,6,maior-de-tres.json,Raqueli-S,2026-03-19 21:58:56,2026-03-19,21
alert,2026-03-19 22:00:03,maior-de-tres.js,5,5,maior-de-tres.json,Raqueli-S,2026-03-19 22:00:03,2026-03-19,22
if,2026-03-19 22:00:25,maior-de-tres.js,6,6,maior-de-tres.json,Raqueli-S,2026-03-19 22:00:25,2026-03-19,22
alert,2026-03-19 22:01:19,maior-de-tres.js,7,5,maior-de-tres.json,Raqueli-S,2026-03-19 22:01:19,2026-03-19,22
else,2026-03-19 22:01:33,maior-de-tres.js,8,1,maior-de-tres.json,Raqueli-S,2026-03-19 22:01:33,2026-03-19,22
alert,2026-03-19 22:01:41,maior-de-tres.js,9,5,maior-de-tres.json,Raqueli-S,2026-03-19 22:01:41,2026-03-19,22
for,2026-02-20 21:21:14,for.js,1,1,for.json,Raqueli-S,2026-02-20 21:21:14,2026-02-20,21
for,2026-02-20 21:28:16,for.js,5,1,for.json,Raqueli-S,2026-02-20 21:28:16,2026-02-20,21
for,2026-02-20 21:31:54,for.js,9,1,for.json,Raqueli-S,2026-02-20 21:31:54,2026-02-20,21
const,2026-03-20 19:45:03,espalhamento-minimo.js,1,1,espalhamento-minimo.json,Raqueli-S,2026-03-20 19:45:03,2026-03-20,19
Math,2026-03-20 19:47:33,espalhamento-minimo.js,2,7,espalhamento-minimo.json,Raqueli-S,2026-03-20 19:47:33,2026-03-20,19
